time,open,high,low,close,volume,ticker,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_5_2.0_2.0,BBM_5_2.0_2.0,BBU_5_2.0_2.0,BBB_5_2.0_2.0,BBP_5_2.0_2.0,target,sentiment_score
2022-08-31,52620,53360,52620,53120,1173700,FPT,55.886926974104455,320.2044604249022,-3.486705504224119,323.6911659291263,52689.42095245024,53118.0,53546.57904754976,1.613686688315687,0.5023332918529665,0,-0.018217654196065438
2022-09-05,53060,53170,52680,52860,1020900,FPT,52.657380945464,288.80757309874025,-27.90687426430884,316.7144473630491,52641.48513537545,53104.0,53566.51486462455,1.741921002653475,0.23622469388300793,0,-0.0484679369003627
2022-09-06,52740,53000,52620,52620,1171600,FPT,49.79679364802879,241.77231866259535,-59.95370296036299,301.72602162295834,52533.402458614364,52932.0,53330.597541385636,1.5060739869479176,0.10862779168757379,-1,-0.04369293601934415
2022-09-07,52440,52680,51520,51520,2236400,FPT,39.26757469915723,114.41680799423193,-149.84737090298114,264.26417889721307,51334.84523815071,52624.0,53913.15476184929,4.899493622108891,0.07181246477486034,0,0.007675037472962451
2022-09-08,51580,52130,51390,51700,1135600,FPT,41.44925788237634,27.691928604566783,-189.25780023411704,216.94972883868382,50937.00315347275,52364.0,53790.99684652725,5.4502973284212315,0.26734356434777107,0,-0.08789596840782649
2022-09-09,51900,52130,51700,51700,1145400,FPT,41.44925788237634,-40.570491756050615,-206.01617647578757,165.44568471973696,50854.275724316954,52080.0,53305.724275683046,4.707082471901097,0.3449896083732854,0,-0.07640732444843668
2022-09-12,51700,51700,51700,51700,1145400,FPT,41.449257882376344,-93.59010324364499,-207.22863037070556,113.63852712706058,50970.91391528611,51848.0,52725.08608471389,3.3832976574367004,0.4156297183484114,0,-0.09795389287159144
2022-09-13,52130,52320,51700,51900,1046400,FPT,44.22952756195591,-118.10871505594696,-185.39779374640602,67.28907869045908,51435.07621897877,51704.0,51972.92378102123,1.0402436214653756,0.8644155218547364,-1,0.003449449152950343
2022-09-14,51210,51830,51210,51520,1309200,FPT,40.31269804179237,-166.285875705973,-186.85996351714567,20.574087811172667,51435.07621897877,51704.0,51972.92378102123,1.0402436214653756,0.15789563254453318,0,-0.02271366411710772
2022-09-15,51830,51830,51330,51330,780500,FPT,38.47789939429736,-217.2932138140386,-190.29384130016902,-26.99937251386959,51200.11629479735,51630.0,52059.88370520265,1.6652477443449551,0.15106842109940186,-1,-0.04210422099740434
2022-09-16,51330,51460,50600,50600,1360100,FPT,32.38003452735959,-313.01357029398787,-228.81135822409462,-84.20221206989325,50410.6001801087,51410.0,52409.3998198913,3.8879588402696097,0.09475678108082045,1,-0.2211914136898069
2022-09-19,50600,51260,50230,50970,1783700,FPT,37.76365080155608,-354.9253758518462,-216.57853102556234,-138.34684482628384,50263.14036948292,51264.0,52264.85963051708,3.904727022928681,0.35312625715151025,0,-0.10573763686153047
2022-09-20,50970,51390,50470,51160,575000,FPT,40.38827658356108,-368.5608317635415,-184.17118954980612,-184.38964221373539,50409.94051242208,51116.0,51822.05948757792,2.7625772266136654,0.5311588476425254,-1,0.018402436978259253
2022-09-21,51100,51100,50470,50470,775400,FPT,34.67008885023826,-430.086492870847,-196.5574805256893,-233.5290123451577,50176.534442212105,50906.0,51635.465557787895,2.8659315514394956,0.2011510719421966,1,-0.06690112794886774
2022-09-22,50290,50910,50230,50850,1172400,FPT,39.73086615713175,-443.075697523338,-167.63734814254428,-275.43834938079374,50253.762640594134,50810.0,51366.237359405866,2.1894798638294284,0.5359558732649,-1,0.07906609260861175
2022-09-23,50970,50970,50350,50540,840600,FPT,37.19922672054898,-472.93247384624556,-157.99529957236143,-314.9371742738841,50217.06971158424,50798.0,51378.93028841576,2.2872171676670683,0.27794237523439713,-1,0.07075684496746197
